RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
8,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1
16,15643966,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0
17,15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1
27,15736816,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0
29,15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0
33,15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0
40,15585768,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0
46,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0
47,15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1
48,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1
49,15766205,Yin,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0
50,15771873,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0
51,15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0
52,15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0
54,15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1
55,15569590,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1
58,15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0
61,15651280,Hunter,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0
62,15773469,Clark,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0
65,15592461,Jackson,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0
66,15789484,Hammond,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0
67,15696061,Brownless,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0
68,15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0
69,15638424,Glauert,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0
71,15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1
74,15779052,Ballard,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0
80,15803136,Postle,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0
90,15767954,Osborne,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0
98,15693683,Yuille,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0
107,15599195,Stiger,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0
108,15812878,Parsons,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0
110,15744689,T'ang,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1
111,15803526,Eremenko,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0
112,15665790,Rowntree,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0
115,15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1
116,15675522,Ko,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0
117,15705512,Welch,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0
119,15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1
120,15600781,Wu,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0
124,15760085,Calabresi,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0
128,15782688,Piccio,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1
132,15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0
135,15712543,Chinweike,789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0
136,15584518,Arthur,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0
137,15802381,Li,461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0
141,15698932,Groves,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0
160,15804017,Chigolum,631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0
166,15585388,Sherman,660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0
167,15724623,Taubman,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1
170,15611325,Wood,682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0
172,15613172,Sun,628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0
173,15651022,Yost,480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1
178,15790355,Okechukwu,606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0
180,15625426,Ashbolt,754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1
183,15621075,Ogbonnaya,778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0
190,15587421,Tsai,687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0
198,15777892,Samsonova,721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0
211,15752047,Trevisano,689,Germany,Male,33,2,161814.64,2,1,0,169381.9,0
215,15785542,Kornilova,572,Germany,Male,26,4,118287.01,2,0,0,60427.3,0
216,15723488,Watson,668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1
225,15568748,Poole,671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1
228,15676895,Cattaneo,547,Germany,Female,39,6,74596.15,3,1,1,85746.52,1
229,15637753,O'Sullivan,751,Germany,Male,50,2,96888.39,1,1,0,77206.25,1
230,15605461,Lucas,594,Germany,Female,29,3,130830.22,1,1,0,61048.53,0
234,15723886,Fiore,767,Germany,Male,20,3,119714.25,2,0,1,150135.38,0
236,15772896,Dumetochukwu,763,Germany,Male,42,6,100160.75,1,1,0,33462.94,1
238,15764866,Synnot,539,Germany,Female,43,3,116220.5,3,1,0,55803.96,1
242,15651001,Tsao,725,Germany,Female,39,5,116803.8,1,1,0,124052.97,0
244,15596175,McIntosh,659,Germany,Male,67,6,117411.6,1,1,1,45071.09,1
247,15685500,Glazkov,772,Germany,Male,26,7,152400.51,2,1,0,79414.0,0
249,15657566,Wieck,634,Germany,Male,24,8,103097.85,1,1,1,157577.29,0
250,15772423,Liao,739,Germany,Male,54,8,126418.14,1,1,0,134420.75,1
251,15628112,Hughes,771,Germany,Female,36,5,77846.9,1,0,0,99805.99,0
254,15694717,Ku,544,Germany,Male,37,2,79731.91,1,1,1,57558.95,0
258,15592979,Rose,671,Germany,Female,34,6,37266.67,2,0,0,156917.12,0
260,15607178,Welch,850,Germany,Male,38,3,54901.01,1,1,1,140075.55,0
261,15713853,Ifeajuna,732,Germany,Male,42,9,108748.08,2,1,1,65323.11,0
270,15799217,Zetticci,791,Germany,Female,35,7,52436.2,1,1,0,161051.75,0
272,15619955,Bevington,733,Germany,Male,34,3,100337.96,3,1,0,48559.19,1
273,15796505,Boyle,811,Germany,Female,34,1,149297.19,2,1,1,186339.74,0
275,15800116,Bowman,712,Germany,Male,28,4,145605.44,1,0,1,93883.53,0
283,15643024,Huang,479,Germany,Male,35,4,138718.92,1,1,1,47251.79,1
291,15652266,Chidiebele,703,Germany,Male,42,9,63227.0,1,0,1,137316.32,0
308,15660211,Shih,629,Germany,Male,35,7,156847.29,2,1,0,31824.29,0
310,15746726,Doyle,438,Germany,Male,31,8,78398.69,1,1,0,44937.01,0
312,15702919,Collins,729,Germany,Male,30,6,63669.42,1,1,0,145111.37,0
314,15797960,Skinner,806,Germany,Female,59,0,135296.33,1,1,0,182822.5,0
329,15669064,Mazzanti,671,Germany,Male,35,1,144848.74,1,1,1,179012.3,0
330,15624528,L?,664,Germany,Male,26,7,116244.14,2,1,1,95145.14,0
333,15702669,Faulkner,663,Germany,Male,44,2,117028.6,2,0,1,144680.18,0
334,15728669,Knowles,584,Germany,Female,30,8,112013.81,1,1,0,177772.03,1
337,15740476,Tsao,659,Germany,Female,32,3,150923.74,2,0,1,174652.51,0
340,15807923,Young,716,Germany,Female,39,10,115301.31,1,1,0,43527.4,1
341,15745844,Kerr,642,Germany,Female,40,6,129502.49,2,0,1,86099.23,1
347,15658935,Freeman,630,Germany,Female,34,9,106937.05,2,1,0,138275.01,0
348,15747358,Russell,643,Germany,Male,59,3,170331.37,1,1,1,32171.79,0
349,15735203,Seleznyov,654,Germany,Female,32,1,114510.85,1,1,1,126143.23,0
362,15696674,Robinson,643,Germany,Female,45,2,150842.93,1,0,1,2319.96,1
364,15745088,Chen,443,Germany,Female,29,9,99027.61,2,1,0,10940.4,0
367,15633537,Nolan,540,Germany,Female,42,9,87271.41,2,1,0,172572.64,0
368,15594720,Scott,460,Germany,Female,35,8,102742.91,2,1,1,189339.6,0
369,15684042,Blair,636,Germany,Male,34,2,40105.51,2,0,1,53512.16,0
372,15774696,Cole,640,Germany,Female,75,1,106307.91,2,0,1,113428.77,0
373,15694506,Briggs,611,Germany,Male,31,0,107884.81,2,1,1,183487.98,0
374,15688074,Gregory,802,Germany,Male,31,1,125013.72,1,1,1,187658.09,0
375,15759537,Bianchi,717,Germany,Male,35,7,58469.37,2,1,1,172459.39,0
377,15583456,Gardiner,745,Germany,Male,45,10,117231.63,3,1,1,122381.02,1
383,15568240,Ting,492,Germany,Female,30,10,77168.87,2,0,1,146700.22,0
384,15622993,Boyd,709,Germany,Male,28,8,124695.72,2,1,0,145251.35,0
385,15689294,Onyemaechi,705,Germany,Male,44,3,105934.96,1,1,0,82463.69,0
391,15685226,Morrison,712,Germany,Female,29,7,147199.07,1,1,1,84932.4,0
392,15785611,Onyeoruru,752,Germany,Male,38,3,183102.29,1,1,1,71557.12,0
396,15807432,Cheng,645,Germany,Female,37,2,136925.09,2,0,1,153400.24,0
398,15612187,Morin,547,Germany,Male,32,8,155726.85,1,1,0,67789.99,0
402,15747795,Pai,593,Germany,Female,38,4,129499.42,1,1,1,154071.27,0
409,15701376,K'ung,668,Germany,Male,37,10,152958.29,2,1,1,159585.61,0
410,15691625,Ko,537,Germany,Female,41,3,138306.34,1,1,0,106761.47,0
414,15801559,Chiang,693,Germany,Female,41,9,181461.48,3,1,1,187929.43,1
417,15720559,Heath,487,Germany,Female,61,5,110368.03,1,0,0,11384.45,1
421,15810418,T'ang,756,Germany,Female,60,3,115924.89,1,1,0,93524.19,1
423,15674551,Fitch,535,Germany,Male,40,7,111756.5,1,1,0,8128.32,1
427,15652883,Chung,492,Germany,Male,39,10,124576.65,2,1,0,148584.61,0
429,15576313,Wei,486,Germany,Female,40,9,71340.09,1,1,0,76192.21,0
430,15806467,Boyle,568,Germany,Male,40,1,99282.63,1,0,0,134600.94,1
431,15597602,Nwachinemelu,619,Germany,Male,57,3,137946.39,1,1,1,72467.99,1
432,15743040,Kuznetsova,724,Germany,Male,41,2,127892.57,2,0,1,199645.45,0
433,15705521,Pisani,548,Germany,Female,33,0,101084.36,1,1,0,42749.85,0
434,15595039,Manna,545,Germany,Female,37,8,114754.08,1,1,0,136050.44,1
437,15693737,Carr,627,Germany,Female,30,4,79871.02,2,1,0,129826.89,0
440,15690134,Hughes,464,Germany,Female,42,3,85679.25,1,1,1,164104.74,0
451,15794396,Newbold,494,Germany,Female,38,7,174937.64,1,1,0,40084.32,0
459,15707362,Yin,514,Germany,Male,43,1,95556.31,1,0,1,199273.98,1
461,15732778,Templeman,468,Germany,Male,29,1,111681.98,2,1,1,195711.16,0
468,15593782,Brookes,816,Germany,Female,38,5,130878.75,3,1,0,71905.77,1
476,15591986,Johnston,621,Germany,Male,46,6,141078.37,1,0,0,34580.8,1
477,15798888,Pisano,605,Germany,Female,31,1,117992.59,1,1,1,183598.77,0
484,15578186,Pirozzi,486,Germany,Male,37,9,115217.99,2,1,0,144995.33,0
490,15807709,Kirby,714,Germany,Female,55,9,180075.22,1,1,1,100127.71,0
496,15804256,Hale,765,Germany,Male,36,8,92310.54,2,1,1,72924.56,0
499,15591995,Barry,757,Germany,Male,26,8,121581.56,2,1,1,127059.04,0
507,15805565,Obiuto,691,Germany,Male,30,7,116927.89,1,1,0,21198.39,0
508,15677307,Lo,684,Germany,Female,40,6,137326.65,1,1,0,186976.6,0
511,15568506,Forbes,524,Germany,Female,31,10,67238.98,2,1,1,161811.23,0
512,15761043,Macleod,632,Germany,Female,38,6,86569.76,2,1,0,98090.91,0
518,15781307,Schneider,779,Germany,Male,37,7,120092.52,2,1,0,135925.72,0
524,15742358,Humphreys,696,Germany,Male,32,8,101160.99,1,1,1,115916.55,0
529,15653849,Lu,572,Germany,Female,48,3,152827.99,1,1,0,38411.79,1
537,15592846,Fiorentini,639,Germany,Male,35,10,128173.9,2,1,0,59093.39,0
539,15794142,Ferreira,564,Germany,Female,62,5,114931.35,3,0,1,18260.98,1
540,15762729,Ukaegbunam,745,Germany,Female,28,1,111071.36,1,1,0,73275.96,1
548,15720187,Han,479,Germany,Female,30,7,143964.36,2,1,0,41879.99,0
551,15750141,Reichard,721,Germany,Female,36,3,65253.07,2,1,0,28737.78,0
552,15657284,Day,674,Germany,Male,47,6,106901.94,1,1,1,2079.2,1
555,15711309,Sumrall,574,Germany,Male,33,3,129834.67,1,1,0,193131.42,0
557,15705515,Lazarev,587,Germany,Male,40,5,138241.9,2,1,0,159418.1,0
558,15634844,Miller,598,Germany,Male,41,3,91536.93,1,1,0,191468.78,1
561,15670080,Mackenzie,584,Germany,Female,29,7,105204.01,1,0,1,138490.03,0
569,15795564,Moretti,737,Germany,Male,31,5,121192.22,2,1,1,74890.58,0
584,15753719,Rickards,547,Germany,Female,30,9,72392.41,1,1,0,77077.14,0
585,15803689,Begum,647,Germany,Female,51,1,119741.77,2,0,0,54954.51,1
591,15788291,Okwuadigbo,713,Germany,Female,38,7,144606.22,1,1,1,56594.36,1
596,15680970,Lombardi,611,Germany,Female,41,2,114206.84,1,1,0,164061.6,0
598,15567446,Coffman,646,Germany,Male,39,9,111574.41,1,1,1,30838.51,0
599,15637476,Alexandrova,683,Germany,Female,57,5,162448.69,1,0,0,9221.78,1
600,15714939,Fallaci,484,Germany,Female,34,4,148249.54,1,0,1,33738.27,0
610,15586585,Duncan,698,Germany,Female,51,2,111018.98,1,1,0,86410.28,0
615,15660271,Duncan,688,Germany,Male,26,8,146133.39,1,1,1,175296.76,0
618,15766575,Larionova,612,Germany,Female,62,8,140745.33,1,1,0,193437.89,1
